case_id,dimension,setting,evidence_class,policy,episodes,mean_cost_bps,median_cost_bps,p95_cost_bps,cvar95_cost_bps,completion_rate,invalid_action_rate
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,immediate,24,4.197007408308794,4.187602801282044,4.468566598237228,4.475752217754927,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,twap_like,24,3.548348415207825,3.78336935654308,7.424566399738481,8.082271483593646,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,liquidity_aware,24,3.583226556342441,2.902101564521296,8.508597998821967,8.685726696645157,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,ppo_seed_27,24,4.113547300812679,3.5898630924008863,9.899366995547423,10.458561158414692,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,ppo_seed_127,24,4.113547300812679,3.5898630924008863,9.899366995547423,10.458561158414692,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,ppo_seed_227,24,2.8911176907601703,2.986354588406151,6.662073996708459,8.287982957643777,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,ppo_seed_327,24,3.4342471540941304,3.0339896672926034,7.532583884504199,7.870112398842939,1.0,0.0
grid_1000ms_proxy,decision_grid,1000ms_proxy,synthetic_engineering,ppo_seed_427,24,4.091565056649507,3.6461726203111207,9.746790990424879,10.425272067574731,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,immediate,24,3.4438589537478657,3.4400841041200962,3.566864105220424,3.5688151741157994,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,twap_like,24,3.085791466503572,3.0499791856757468,6.896874889167638,7.524614995424988,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,liquidity_aware,24,2.2524597930216514,1.2617054225552726,7.9944251490164255,8.953758102122503,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,ppo_seed_27,24,2.641434060756742,2.2185071426715086,10.545245296626156,11.332843177062148,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,ppo_seed_127,24,2.641434060756742,2.2185071426715086,10.545245296626156,11.332843177062148,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,ppo_seed_227,24,1.218290828362571,0.5984454219428545,6.28265273626326,7.880719564219224,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,ppo_seed_327,24,2.731357793179903,3.0835026451670537,7.096545956194982,7.307691706079472,1.0,0.0
liquidity_high,liquidity,high,synthetic_engineering,ppo_seed_427,24,2.6019336466528213,2.1745186895054838,10.480212006290506,10.994628035038861,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,immediate,24,4.952209232911127,4.925295418586996,5.533234244946367,5.558069777743218,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,twap_like,24,3.185473724811679,3.160106052872573,6.9890936828743415,7.623446631459483,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,liquidity_aware,24,2.250307295494559,1.304465430434575,8.050869905493256,8.995305490367556,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,ppo_seed_27,24,2.7557750105695233,2.2906745301019615,10.703939948083656,11.53345737952469,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,ppo_seed_127,24,2.7557750105695233,2.2906745301019615,10.703939948083656,11.53345737952469,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,ppo_seed_227,24,2.061243708728011,1.4941445466113674,9.416879596828405,10.615334456510533,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,ppo_seed_327,24,2.8861157153589168,3.162181215591308,6.940983004683004,7.223642970344716,1.0,0.0
liquidity_low,liquidity,low,synthetic_engineering,ppo_seed_427,24,2.5936300085506336,1.7097068092438144,10.703939948083656,11.182508886003044,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,immediate,24,11.379798961289536,11.140414850046419,13.950000000000728,14.118055555556015,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,twap_like,24,3.874486165666324,3.8655726816161633,7.648746699740026,8.082621605272418,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,liquidity_aware,24,2.586358478861794,1.6561996021948118,9.18568589039427,9.699377044510669,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,ppo_seed_27,24,3.174676345277151,2.5134217055817016,11.173700815552449,12.15679482138013,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,ppo_seed_127,24,3.174676345277151,2.5134217055817016,11.173700815552449,12.15679482138013,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,ppo_seed_227,24,2.836028170739968,2.3217863916045323,10.627435437862104,11.290678193254013,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,ppo_seed_327,24,3.5943067297289857,3.981436269827232,7.816313359583109,8.235570882974947,1.0,0.0
liquidity_adversarial_thin,liquidity,adversarial_thin,synthetic_engineering,ppo_seed_427,24,3.016673171270481,2.2724439951820297,11.173700815552449,11.647183044817508,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,immediate,24,2.947007408308794,2.9376028012820448,3.218566598237228,3.225752217754927,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,twap_like,24,2.3504776197662607,2.1610916153706476,6.295774994684531,6.749768532004243,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,liquidity_aware,24,2.6568144892995944,1.5847794891010842,9.801187144089226,10.113331007785433,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,ppo_seed_27,24,2.9664200032581243,2.559553122664491,10.61603350395468,11.397655579196211,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,ppo_seed_127,24,2.9664200032581243,2.559553122664491,10.61603350395468,11.397655579196211,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,ppo_seed_227,24,2.4429986710403546,1.8579499926008343,9.690680276865189,10.717081898190747,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,ppo_seed_327,24,1.8459715567979822,1.871154979354269,6.200833441166344,6.418905927565087,1.0,0.0
spread_narrow,spread,narrow,synthetic_engineering,ppo_seed_427,24,2.855107957548634,1.9660754679527916,10.61603350395468,11.076332367670823,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,immediate,24,5.947007408308795,5.937602801282045,6.218566598237228,6.225752217754927,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,twap_like,24,4.667977619766261,4.844375109607698,8.704939311189612,9.46181513448678,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,liquidity_aware,24,1.6365461942580868,1.0047681285826209,7.747614699772708,8.443422591438061,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,ppo_seed_27,24,2.118920003258124,1.4297050608689819,10.58303350395468,11.427655579196212,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,ppo_seed_127,24,2.118920003258124,1.4297050608689819,10.58303350395468,11.427655579196212,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,ppo_seed_227,24,-0.25627429098081556,-0.771710474099076,4.915295253721993,5.1892077355040644,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,ppo_seed_327,24,4.548804428702673,4.8134906752375315,8.96519833377808,9.18804007620927,1.0,0.0
spread_wide,spread,wide,synthetic_engineering,ppo_seed_427,24,2.018693013262028,1.2771398277589259,10.498001762542925,11.061682752339221,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,immediate,24,7.947007408308795,7.937602801282045,8.218566598237228,8.225752217754927,1.0,0.0
spread_adversarial,spread,adversarial_wide,synthetic_engineering,twap_like,24,6.212977619766261,6.547314636632868,10.584939311189613,11.361815134486779,1.0,0.0
