case_id,dimension,setting,policy,comparator,episodes,mean_difference_bps,median_difference_bps,mean_ci95_low_bps,mean_ci95_high_bps,raw_two_sided_p_value,holm_adjusted_p_value,relative_change_percent,paired_standardized_effect
queue_cancellation_perturb,queue,cancellation_allocation_proxy,ppo_aggregate,liquidity_aware,24,0.150682619889,0.446943987294,-0.550542264684,0.823756693176,0.673175494264,0.992921649988,5.34263778171,0.0580049101173
queue_cancellation_perturb,queue,cancellation_allocation_proxy,twap_like,liquidity_aware,24,0.311799308596,0.557137405313,-0.852051494763,1.39663949094,0.601903832072,0.601903832072,11.0552283179,0.0810820743762
queue_cancellation_perturb,queue,cancellation_allocation_proxy,immediate,liquidity_aware,24,1.1266286732,2.33512082559,-0.687913436344,2.75228176251,0.195264827923,0.390529655846,39.9460065125,0.336254401049
queue_optimistic,queue,optimistic_proxy,ppo_aggregate,liquidity_aware,24,0.354485864483,0.383219935292,0.00792235658595,0.714344792028,0.0478398828411,0.143519648523,27.8389929838,0.276959787431
queue_optimistic,queue,optimistic_proxy,twap_like,liquidity_aware,24,1.43078739728,1.72889372692,0.795129547016,2.10877614834,0.000244081034904,0.000732243104711,112.364650625,0.449682125204
queue_optimistic,queue,optimistic_proxy,immediate,liquidity_aware,24,2.67366442249,3.29136465785,1.4236859204,3.78728442405,0.000244081034904,0.000732243104711,209.972054054,1.05546626409
queue_pessimistic,queue,pessimistic_proxy,ppo_aggregate,liquidity_aware,24,-0.523289972968,-0.204503480975,-2.08908989687,0.730990243155,0.496460824994,0.992921649988,-11.2718621582,-0.144729120658
queue_pessimistic,queue,pessimistic_proxy,twap_like,liquidity_aware,24,-1.33376813953,-1.10344606425,-2.44418711978,-0.0130793789223,0.0327068586771,0.0654137173542,-28.7298656507,-0.290900495338
queue_pessimistic,queue,pessimistic_proxy,immediate,liquidity_aware,24,-0.695437341493,-0.0466617382759,-2.75927401853,1.26674038327,0.524530144008,0.524530144008,-14.9799810008,-0.160631634163
simulator_mismatch_adverse,simulator_mismatch,queue_impact_resilience_shift,ppo_aggregate,liquidity_aware,24,-1.24558995675,0.215378375162,-3.85649126211,1.07922419161,0.34146936783,0.34146936783,-21.0666861706,-0.229550301713
simulator_mismatch_adverse,simulator_mismatch,queue_impact_resilience_shift,twap_like,liquidity_aware,24,-1.17543491521,0.584584667406,-4.47432832672,1.62575445964,0.453258481816,0.453258481816,-19.8801526444,-0.148999256325
simulator_mismatch_adverse,simulator_mismatch,queue_impact_resilience_shift,immediate,liquidity_aware,24,3.67830115701,4.89052666362,-0.659668100734,7.03496812945,0.0566268000976,0.0566268000976,62.2111760741,0.475762097434
simulator_mismatch_form,simulator_mismatch,impact_form_and_fill_shift,ppo_aggregate,liquidity_aware,24,0.364044174912,0.397939342562,-0.0381019686941,0.76678924018,0.0771296070295,0.154259214059,21.4789122728,0.264607324973
simulator_mismatch_form,simulator_mismatch,impact_form_and_fill_shift,twap_like,liquidity_aware,24,1.27084298992,1.59221470669,0.617185862985,1.95031345172,0.000244081034904,0.000488162069807,74.9808044577,0.383533135671
simulator_mismatch_form,simulator_mismatch,impact_form_and_fill_shift,immediate,liquidity_aware,24,2.66453633651,3.11570508492,1.28131163205,3.9010951871,0.000244081034904,0.000488162069807,157.209883205,0.990133118984
size_10pct_depth,parent_size,10pct_depth_proxy,ppo_aggregate,liquidity_aware,24,-0.0295393227745,0.0216686245046,-0.454990047822,0.339849161536,0.884305589456,1.0,-1.33662159542,-0.0203218362289
size_10pct_depth,parent_size,10pct_depth_proxy,twap_like,liquidity_aware,24,0.66328985269,0.802791987595,-0.516209199423,1.7133181385,0.260922626312,0.727117402978,30.0131302229,0.178479893209
size_10pct_depth,parent_size,10pct_depth_proxy,immediate,liquidity_aware,24,0.796094128121,1.92404663992,-0.959899916538,2.41663137638,0.376861117891,0.753722235782,36.0223764016,0.252056240957
size_25pct_depth,parent_size,25pct_depth_proxy,ppo_aggregate,liquidity_aware,24,-0.0167057718895,0.190043902712,-0.482355384077,0.403439090749,0.939711984379,1.0,-0.717014600221,-0.00853250944579
size_25pct_depth,parent_size,25pct_depth_proxy,twap_like,liquidity_aware,24,0.843523500413,1.5453760134,-0.631035731056,2.09694377951,0.242372467659,0.727117402978,36.204173589,0.195290528226
size_25pct_depth,parent_size,25pct_depth_proxy,immediate,liquidity_aware,24,0.778495689975,1.88097012451,-1.03766077239,2.46041820887,0.397608005858,0.753722235782,33.4131687907,0.234790723374
size_50pct_depth,parent_size,50pct_depth_proxy,ppo_aggregate,liquidity_aware,24,0.120145312099,0.145536049539,-0.225916777745,0.467359306148,0.500366121552,1.0,5.59842682351,0.0863160580547
